17.00,21.00,12.00,14.00,4.00,0.00,0.00,1.00
25.00,41.00,87.00,115.00,52.00,1.00,1.00,6.00
32.00,50.00,51.00,88.00,27.00,0.00,0.00,6.00
31.00,53.00,28.00,105.00,29.00,0.00,0.00,5.00
31.00,51.00,41.00,99.00,36.00,0.00,0.00,5.00
29.00,47.00,51.00,68.00,25.00,1.00,0.00,3.00
28.00,46.00,27.00,16.00,16.00,2.00,1.00,2.00
21.00,37.00,19.00,5.00,7.00,2.00,0.00,1.00
15.00,27.00,19.00,3.00,10.00,1.00,0.00,1.00
6.00,14.00,22.00,7.00,4.00,0.00,0.00,0.00
1.00,7.00,10.00,6.00,3.00,0.00,0.00,0.00
4.00,10.00,3.00,1.00,1.00,0.00,0.00,0.00
4.00,7.00,1.00,2.00,0.00,0.00,0.00,0.00
6.00,9.00,0.00,1.00,0.00,0.00,0.00,0.00
6.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,9.00,22.00,19.00,27.00,2.00,3.00,3.00
0.00,2.00,5.00,3.00,5.00,0.00,1.00,0.00
2.00,2.00,4.00,9.00,10.00,0.00,0.00,1.00
2.00,3.00,5.00,8.00,7.00,0.00,0.00,0.00
29.00,44.00,78.00,91.00,50.00,1.00,0.00,7.00
32.00,47.00,54.00,97.00,53.00,0.00,0.00,7.00
36.00,57.00,61.00,102.00,47.00,0.00,0.00,8.00
33.00,54.00,58.00,109.00,63.00,1.00,0.00,6.00
31.00,52.00,43.00,81.00,41.00,1.00,0.00,4.00
28.00,45.00,45.00,71.00,38.00,3.00,0.00,4.00
24.00,38.00,25.00,33.00,24.00,3.00,0.00,3.00
17.00,31.00,14.00,11.00,6.00,1.00,0.00,1.00
13.00,21.00,11.00,4.00,2.00,0.00,0.00,0.00
4.00,10.00,3.00,6.00,1.00,0.00,0.00,0.00
3.00,5.00,3.00,6.00,1.00,0.00,0.00,0.00
3.00,6.00,2.00,2.00,0.00,0.00,0.00,0.00
4.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00
5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,13.00,21.00,15.00,28.00,2.00,3.00,3.00
2.00,1.00,3.00,3.00,3.00,2.00,1.00,0.00
0.00,1.00,2.00,6.00,9.00,0.00,0.00,1.00
2.00,2.00,2.00,8.00,6.00,1.00,0.00,0.00
21.00,38.00,39.00,49.00,16.00,1.00,1.00,3.00
26.00,48.00,63.00,119.00,20.00,1.00,0.00,9.00
27.00,47.00,51.00,90.00,40.00,1.00,0.00,7.00
17.00,34.00,49.00,59.00,38.00,0.00,0.00,4.00
9.00,22.00,47.00,65.00,36.00,0.00,0.00,3.00
12.00,26.00,39.00,31.00,43.00,1.00,0.00,4.00
13.00,27.00,38.00,23.00,19.00,1.00,0.00,2.00
7.00,17.00,31.00,12.00,16.00,2.00,0.00,2.00
5.00,15.00,30.00,4.00,10.00,2.00,0.00,1.00
9.00,20.00,17.00,6.00,2.00,0.00,0.00,0.00
7.00,16.00,7.00,2.00,1.00,0.00,0.00,0.00
2.00,5.00,2.00,3.00,1.00,0.00,0.00,0.00
2.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00
0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.00,45.00,98.00,82.00,50.00,2.00,1.00,5.00
20.00,43.00,65.00,99.00,76.00,4.00,1.00,7.00
19.00,33.00,58.00,96.00,43.00,6.00,2.00,6.00
17.00,36.00,68.00,70.00,58.00,11.00,0.00,6.00
20.00,38.00,40.00,74.00,75.00,10.00,1.00,8.00
23.00,42.00,31.00,66.00,24.00,9.00,1.00,3.00
19.00,36.00,38.00,32.00,24.00,4.00,0.00,3.00
10.00,21.00,46.00,4.00,6.00,3.00,0.00,1.00
4.00,15.00,32.00,17.00,4.00,0.00,0.00,1.00
5.00,10.00,3.00,8.00,2.00,1.00,0.00,0.00
3.00,2.00,1.00,5.00,1.00,0.00,0.00,0.00
3.00,7.00,1.00,2.00,1.00,0.00,0.00,0.00
1.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00
3.00,4.00,1.00,2.00,0.00,0.00,0.00,0.00
3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
